"OECD (2015), Computed tomography (CT) scanners (indicator). doi: 10.1787/bedece12-en (Accessed on 30 June 2015)"
https://data.oecd.org/healtheqt/computed-tomography-ct-scanners.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Computed tomography (CT) scanners, In hospitals, Per 1 000 000 inhabitants"

Location,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Austria,,,,,,,,,,,,,,,,,14.0700,15.3100,15.8000,16.0200,16.3500,16.5400,16.8300,16.8700,18.6000,19.0800,19.3500,19.4000,19.0700,18.6500,19.3100,18.9100,19.1000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Belgium,,,,,,,,,,,,,,,,,,,,,,,,10.3100,10.9400,12.5000,12.0400,12.6100,13.3500,13.5200,13.1900,13.0300,14.2900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,..
Canada,,,,,,,,,,,,,,,,,,,,,,9.6700,,9.9900,10.3600,11.1000,11.4800,12.0900,,13.0800,13.4800,13.8600,13.9000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,,,,,..,,,,,..
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9300,5.4000,8.6000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,12.0600,11.8500,12.4000,12.1400,12.5200,13.1200,13.4600,13.6200,13.7000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,,,,,,,,11.4200,13.2500,13.7700,14.4700,14.4300,14.0200,15.8200,18.4900,21.3000,23.5400,27.4000,29.0800,,26.6900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,7.3800,6.6800,10.4400,13.4600,13.4900,14.2700,15.8200,16.6300,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Finland,1.4600,2.2900,2.2800,2.6800,4.7100,5.3000,6.5100,7.1000,7.6800,7.8600,9.8300,10.1700,10.5100,11.2500,11.7900,11.7500,12.4900,12.4500,12.2200,12.7800,13.5200,13.6900,13.2700,14.0000,14.1500,14.6800,14.8100,16.4500,,20.4200,21.0700,21.3400,21.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,..
France,,,,,,,,,,,,,,,,,,,5.3000,5.8200,5.6800,6.0100,6.3100,6.7300,7.3200,8.2700,8.4800,8.4900,8.9400,9.3000,9.7700,10.5600,11.2200,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,,8.2000,8.5900,9.0600,9.5800,10.5700,11.1900,12.1500,12.7100,13.6000,14.0400,14.6000,15.4100,15.8300,16.2900,16.7300,17.2400,17.7300,18.2000,18.6100,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,..
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0800,15.7800,,,16.4600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..,..,
Iceland,,,,,,,,,,,,,,,,,,,,,14.2200,10.5300,13.9100,13.8200,10.2700,13.4800,16.4600,22.4700,22.0500,25.1200,28.3000,28.2100,28.0600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,..
Israel,,,,,,,,,,,,,,,,1.6200,4.4000,4.8000,4.6900,4.7300,4.7700,5.4400,5.3300,4.9300,5.4300,5.7700,5.6700,7.3800,7.8000,8.2800,8.2600,8.1100,8.3400,8.1900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,12.9400,15.2500,15.9700,17.9000,19.0800,19.9800,19.6300,21.3200,22.1300,23.3700,23.6800,24.0500,24.4700,24.8800,25.0400,25.3600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,..
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8400,25.1500,24.7900,25.6500,26.8000,27.5600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,27.9500,27.5100,27.0800,26.6000,26.1200,25.6400,25.0800,24.4800,22.0800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,7.1200,8.2100,8.3800,7.8100,9.9100,11.0100,11.6800,12.0400,10.4400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0400,10.9500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..
Portugal,,,,,,,,,,,,,,,,,,,,7.6300,8.2600,8.3000,8.7300,8.9900,9.9200,10.1900,11.0200,11.4800,11.8400,12.0200,13.9000,18.0900,18.6400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,..
"Slovak Republic",,,,,,,,,,,,,,,,,,,,,6.3100,7.0600,7.6300,8.7500,10.2400,11.3500,11.7300,12.2800,12.2700,11.5100,12.2400,12.9700,13.8700,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,..
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,7.5100,8.0000,8.4700,8.9200,10.3900,10.3000,11.2300,11.2000,11.1800,10.5500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,
Spain,,,,,1.5700,,,,4.4200,,,,6.7800,7.2000,7.7600,8.3000,8.9200,9.2700,10.1200,11.4200,12.0000,12.3900,12.7900,12.8900,13.1900,13.4200,13.7600,14.4600,14.7300,14.9500,14.0200,14.5000,14.7500,,..,..,..,..,,..,..,..,,..,..,..,,,,,,,,,,,,,,,,,,,,,,..
Switzerland,,,,,,,,,,,,,,,,,,18.3400,18.9900,18.4800,18.5100,17.5700,17.9800,17.9900,17.8600,18.1500,18.7100,,,,23.0000,24.0100,25.6400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,..,..,..,,,,..
"United States",,,,,,,,,,,,,,,,,,19.9200,,20.1400,,21.5300,,21.6100,22.9700,,23.5600,23.9400,,,,25.8700,,26.9200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,..,,..,,,..,,,..,..,..,,..,