"OECD (2015), Magnetic resonance imaging (MRI) exams (indicator). doi: 10.1787/1d89353f-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthcare/magnetic-resonance-imaging-mri-exams.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Magnetic resonance imaging (MRI) exams, In hospitals, Per 1 000 inhabitants"

Location,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,,,,,,,,,,,,1.1000,1.1000,1.2000,1.3000,1.4000,1.5000,1.6000,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,
Austria,,,,,,,,,,32.7000,33.9000,36.4000,43.0000,48.5000,50.3000,47.6000,50.3000,51.0000,,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Canada,,,,,,,,,,,,,,35.7000,37.6000,40.9000,44.0000,,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..,..
"Czech Republic",,,,,,,,,,,,18.5000,21.3000,23.9000,27.4000,27.5000,31.5000,34.6000,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,..
Denmark,,,,,,,,,20.9000,24.1000,28.0000,34.7000,39.2000,44.8000,53.5000,60.8000,65.4000,67.0000,60.6000,..,..,..,..,..,..,..,..,,,,,,,,,,,
Estonia,,,,,,,,,3.7000,5.1000,5.6000,6.8000,14.1000,18.8000,18.5000,29.0000,31.7000,34.1000,,..,..,..,..,..,..,..,..,,,,,,,,,,,..
Finland,,,,,,,,,,,,,,,,11.8000,11.7000,14.8000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,..
France,,,,,,,11.3000,14.1000,14.6000,17.0000,18.6000,19.8000,23.0000,24.4000,28.7000,30.7000,34.0000,36.1000,,..,..,..,..,..,..,,,,,,,,,,,,,..
Germany,,,,,,,,,,,12.2000,13.5000,14.5000,15.5000,17.3000,18.6000,19.8000,21.1000,,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Greece,,,,,,,,,,,,,,,,,,7.9000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..
Hungary,,,,,,,,,,,,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.2000,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,
Iceland,,,,,,,,,,,,,,40.2000,44.7000,39.3000,42.1000,43.3000,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,..
Ireland,,,,,,,,,,,,,,,15.7000,17.0000,17.8000,17.7000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..
Israel,,,,,,,,,,,,,0.7000,0.9000,1.1000,1.6000,1.5000,1.7000,,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..
Korea,,,,,,,,,,,2.6000,4.5000,5.4000,6.2000,6.2000,7.2000,8.7000,9.4000,10.5000,..,..,..,..,..,..,..,..,..,..,,,,,,,,,
Luxembourg,,,,,,,,22.1000,35.3000,54.2000,55.2000,58.7000,60.2000,64.9000,75.5000,80.3000,81.4000,78.8000,,..,..,..,..,..,..,..,,,,,,,,,,,,..
Netherlands,,,,,,,,,,,,,,37.2000,41.9000,46.8000,47.0000,,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..,..
"New Zealand",0.3000,0.5000,0.7000,0.9000,1.2000,1.6000,1.8000,2.0000,2.3000,2.5000,2.8000,2.8000,3.0000,3.2000,3.4000,3.6000,3.8000,4.1000,,,,,,,,,,,,,,,,,,,,..
Poland,,,,,,,,,,,,,,,,,,1.3000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..
Portugal,,,,,3.1000,4.2000,4.6000,6.0000,6.3000,7.3000,8.3000,9.2000,12.2000,16.8000,20.2000,22.4000,25.6000,26.7000,,..,..,..,..,,,,,,,,,,,,,,,..
"Slovak Republic",,,,,,,,,,,,,,,6.5000,8.7000,6.2000,8.5000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,..
Slovenia,,,,,,,,,,0.4000,1.3000,1.4000,1.5000,1.9000,2.1000,2.0000,2.0000,2.0000,,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Spain,,6.8000,8.1000,9.8000,13.3000,15.1000,17.8000,22.6000,25.4000,28.1000,30.4000,32.6000,35.1000,38.6000,42.7000,47.4000,49.7000,49.8000,,..,,,,,,,,,,,,,,,,,,..
"United Kingdom",7.2000,8.1000,9.7000,10.7000,11.9000,12.8000,14.3000,15.8000,17.2000,18.8000,22.1000,24.7000,29.0000,33.4000,37.7000,40.4000,,,,,,,,,,,,,,,,,,,,..,..,..
"United States",19.2000,20.8000,23.1000,25.0000,28.7000,32.3000,35.8000,43.1000,43.4000,44.7000,46.0000,48.9000,49.5000,46.7000,44.3000,46.2000,51.0000,56.4000,55.3000,,,,,,,,,,,,,,,,,,,