"OECD (2015), Nurses (indicator). doi: 10.1787/283e64de-en (Accessed on 30 June 2015)"
https://data.oecd.org/healthres/nurses.htm#indicator-chart
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Nurses, Total, Per 1 000 inhabitants"

Location,1978,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"1978 Flags","1980 Flags","1981 Flags","1982 Flags","1983 Flags","1984 Flags","1985 Flags","1986 Flags","1987 Flags","1988 Flags","1989 Flags","1990 Flags","1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags"
Australia,,10.3300,9.9100,9.8500,9.8700,9.9100,9.5500,10.9200,11.3700,11.6000,11.7200,11.6300,12.0800,11.5700,11.1000,11.5000,10.8400,10.8300,10.4100,10.3000,10.1700,10.0700,9.9500,9.9400,9.9400,10.2100,9.7600,,10.2000,10.3000,10.1800,,10.1900,10.2200,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,..,,,..
Austria,,,,,,,,,,,,,,,,,,,,6.9600,7.0300,7.1600,7.2100,7.1200,7.2000,7.1300,7.1800,7.2700,7.3800,7.5200,7.6100,7.6700,7.7600,7.8300,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,..
Brazil,,,,,,,,,,,,0.2400,0.2500,0.2600,0.2700,0.2900,0.3000,0.3400,0.3800,0.4000,0.4300,0.4300,0.4700,0.5100,0.5400,0.5500,0.5500,0.5500,0.9500,0.9400,,1.4900,,,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,..,,..,..,..
Canada,,9.6000,9.7500,9.7700,10.2600,10.5800,10.7400,11.0100,11.1300,10.9600,11.1300,11.1100,11.2300,11.2000,11.3000,11.1300,10.8900,10.5700,10.4000,10.1800,10.1000,10.1300,10.0000,9.4500,8.5100,8.5100,8.7300,8.8400,9.0300,9.1400,9.2900,9.3300,9.2500,9.3500,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
"China (People's Republic of)",0.4200,0.4700,,,,,0.6000,,,,,0.8400,,,,,0.9100,0.9300,0.9500,0.9600,0.9800,0.9900,1.0000,0.9600,0.9700,1.0000,1.0200,1.0800,1.1700,1.2500,1.3700,1.5100,1.6400,1.8100,,,,..,..,..,..,,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,,,,,,..
"Czech Republic",,5.9500,6.0900,6.2600,6.4100,6.5700,6.7500,6.9100,7.0300,7.1300,7.2400,7.2600,7.2400,7.2900,7.2600,7.2500,7.4100,7.3800,7.3500,7.3500,7.3800,7.6100,7.8500,7.9900,7.9800,8.1100,8.1100,8.0700,8.0300,7.9700,8.0900,8.1000,8.0300,8.0600,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Denmark,,,,,,,,,,,,,,8.7200,8.8900,9.0900,9.3800,9.8100,10.5600,11.1900,11.6500,12.3700,12.8700,13.4700,13.5800,13.9900,14.3900,14.4800,14.2900,14.7300,15.4400,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,..,..,..,..
Estonia,,7.4000,7.6300,7.9500,8.0000,8.1100,8.2000,8.2500,8.3900,8.3300,8.1700,8.1300,6.5100,6.4500,6.5200,6.4400,6.4400,6.2600,6.1700,6.1400,6.0400,5.8400,5.8000,6.0100,6.1400,6.2400,6.2900,6.3100,6.4000,6.4100,6.1600,6.1200,6.2400,6.1700,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Finland,,,,,,,,,,,,,,,,,,,,,,10.7100,,,,12.1300,12.5700,13.1500,13.4000,13.1400,13.5600,13.8600,14.0800,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,,,,,,,,,..,..
France,,,,,,,,,,,,,,,,,,,,6.2200,6.4500,6.6600,6.8400,7.0000,7.1900,7.3800,7.5900,7.7800,7.6400,7.9100,8.1900,8.4500,8.7100,9.1000,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,..
Germany,,,,,,,,,,,,,,,,,,,,,,9.6000,9.6900,9.8100,10.0000,10.0900,10.2300,10.3500,10.4900,10.7200,11.0300,11.1600,11.3100,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..,..
Greece,,,,,,,,,,,,,,,,,,,,,2.6100,2.7200,2.9300,3.2800,3.3000,3.2700,3.3100,3.2200,3.1900,3.2400,3.3300,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,..,..,..,..
Hungary,,,,,,,,,,,,5.1900,4.8700,5.1200,5.4400,5.4400,5.3500,5.4100,5.3300,5.4700,5.3700,5.2800,5.5200,5.6800,5.7700,5.7800,5.9500,6.0900,6.1200,6.1500,6.2100,6.2200,6.2100,6.3200,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Iceland,,8.8900,9.3400,9.9800,10.7100,11.0100,11.1000,11.4300,11.7700,11.8700,12.0700,12.4800,12.5100,12.4600,12.7500,12.8600,13.1000,13.1000,13.1100,13.5000,13.4000,13.2600,13.1400,13.2700,13.6400,13.6900,13.9700,13.7200,14.0000,14.8900,15.2900,14.5400,14.8200,15.1600,15.5300,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,0.7200,0.7400,0.7600,,0.7700,0.7800,,0.8000,0.8000,0.8300,0.8800,0.8900,1.0100,1.1400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,..,,,..,,,,,,,,..
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7800,0.7100,0.9000,0.9500,1.1500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,12.3300,12.2100,12.5400,12.7100,12.6300,12.5000,12.8300,12.1500,12.6400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Israel,,,,,,,,,,,,,,,,,,5.3000,5.2500,5.3400,5.4300,5.4300,5.4900,5.4100,5.2800,5.1600,5.2300,5.2200,5.1100,4.8800,4.7300,4.7100,4.8000,4.8200,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4800,6.4100,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..
Japan,,,,,,,,,,,,,,,,,,,,,,,,8.4300,,8.7900,,9.1500,,9.6100,,10.1100,,10.5400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,,..,,..,,..,,..,,..
Korea,,,,,,,,,,,,,,,,,,,2.7400,2.7700,2.9200,2.9800,3.2000,3.4300,3.5400,3.8000,3.8500,3.9800,4.1500,4.3300,4.4700,4.6300,4.7200,4.8400,5.2200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,6.9500,7.1600,7.3200,7.2500,7.3100,7.3800,7.4700,7.7600,8.9400,9.0900,10.9700,10.9400,,,11.1200,11.0500,11.2700,11.9200,11.9300,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..,..,,,,,
Mexico,,,,,,,,,,,,1.6900,1.8300,1.9200,1.9700,2.0300,2.0700,2.0700,2.0500,2.0900,2.1400,2.1900,2.1900,2.1900,2.1000,2.0800,2.1800,2.2000,2.2700,2.3000,2.3500,2.4100,2.5100,2.5500,,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
Netherlands,,,,,,,,,,,,,,,,,,,,,10.1500,10.2900,10.6000,10.8700,11.1100,11.2200,11.3700,11.4100,11.3900,11.6700,11.6600,11.7600,11.9100,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,..,..
"New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,9.0300,8.8400,9.2100,9.7400,9.7000,10.0300,10.0200,10.0900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,..
Norway,,,,,,,,,,,,,,,,,,,,,,,,12.1300,12.7600,13.2400,13.6400,13.9200,13.9400,14.0000,15.9300,16.1300,16.4000,16.5300,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,..
Poland,,4.4100,4.4900,4.5300,4.6100,4.6600,4.8300,4.9800,5.0900,5.1300,5.2100,5.4500,5.3300,5.3100,5.3000,5.4100,5.4800,5.5700,5.6200,5.5100,5.1000,4.9600,4.8800,4.8600,4.7500,4.9300,5.0900,5.0900,5.1800,5.1900,5.2500,5.2600,5.2100,5.4900,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,4.2200,4.4300,4.6800,4.9500,5.1800,5.4300,5.6800,5.8800,5.7500,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,..
Russia,,,,,,,8.2300,,,,,6.7000,6.2400,6.3200,6.4000,6.7000,6.7500,6.5900,6.5600,6.4600,6.5000,6.9100,6.9800,7.1400,7.2000,7.2600,7.2900,7.4100,7.4200,7.2600,7.3000,7.2700,7.3900,7.4500,,..,..,..,..,..,..,,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,..
"Slovak Republic",,,,,,,,,,,,,,,,7.0200,6.4700,6.0100,5.9200,7.3900,7.2300,7.4400,7.2600,6.9300,6.5300,6.3300,6.0200,6.0600,6.3300,6.2800,6.0700,6.0700,5.9400,5.8200,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,..
Slovenia,,,,,,,,,,,,,,,,,,,,,,6.8500,7.1300,7.1600,7.3500,7.4000,7.4800,7.6000,7.7200,7.8800,8.0300,8.1900,8.3300,8.1600,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,..
"South Africa",,,,,,,,,,,,,,,,,,,,,,,0.9200,0.9000,0.8600,0.8700,0.9100,0.9000,0.9100,0.9500,0.9700,1.0100,1.0800,1.1400,1.2100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,
Spain,,2.1000,,,,,2.2400,,,,,2.6800,,,,,,3.2900,3.3800,3.3600,3.4100,3.5700,3.8800,4.0700,4.2900,4.3000,4.3600,4.4600,4.6000,4.8200,4.9500,5.1500,5.2200,5.2400,,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,..,,,,,,,,,,,,,,,,,,..
Switzerland,,,,,,,,,,,,,,,,,,,,,,12.8700,13.2200,13.6700,14.2600,14.1300,14.0700,14.5400,14.7100,14.9200,15.2000,16.0300,16.6000,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,..,..
Turkey,,,,,,,,,,,,,,,0.9100,0.9300,1.0100,0.9900,1.0200,1.0400,1.0300,1.0300,1.0600,1.0400,1.0600,1.0600,1.0800,1.1300,1.3500,1.4100,1.4600,1.5700,1.6800,1.7900,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,..
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,9.0100,9.2900,9.5900,10.0200,10.1400,10.2100,9.8700,9.5800,9.6000,9.7500,9.5200,7.9900,8.2100,8.2400,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,
"United States",,,,,,,,,,,,,,,,,,,,,10.3700,10.1700,10.1800,10.1900,10.1000,10.3000,10.4200,10.5200,10.5800,10.7600,10.8000,10.9400,11.0800,11.1400,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,..